Pais,Año,Valor
Cyprus,2019,29703.052734375
Cyprus,2020,28649.015625
Cyprus,2021,33734.03515625
Cyprus,2022,33894.44921875
Cyprus,2023,36551.41796875
Cyprus,2024,38654.16796875
Czechia,2015,17931.5987670768
Czechia,2016,18753.9686718096
Czechia,2017,20913.197632212
Czechia,2018,23705.9329811299
Czechia,2019,24062.7190013343
Czechia,2020,23472.8915454417
Czechia,2021,27696.4619527544
Czechia,2022,28282.2236715857
Czechia,2023,31591.0568216357
Czechia,2024,31706.6234229743
Germany,2015,41911.0109851054
Germany,2016,42961.0356905775
Germany,2017,45526.5999576533
Germany,2018,48874.8595028454
Germany,2019,47623.8656074829
Germany,2020,47379.765194548
Germany,2021,52265.6541620571
Germany,2022,49686.1154582583
Germany,2023,53940.4073447462
Germany,2024,55800.2194549412
Djibouti,2015,2376.12554719873
Djibouti,2016,2510.4300076241
Djibouti,2017,2618.95521147369
Djibouti,2018,2718.08338799203
Djibouti,2019,2837.16902340932
Djibouti,2020,2844.88810647853
Djibouti,2021,3025.91126413549
Djibouti,2022,3133.25779772463
Djibouti,2023,3397.52015779588
Djibouti,2024,3496.47111876763
Dominica,2015,8282.59874702141
Dominica,2016,8802.56172041363
Dominica,2017,8224.64896571414
Dominica,2018,9215.3085405645
Dominica,2019,9491.14995962374
Dominica,2020,7827.74842680426
Dominica,2021,8376.40414141113
Dominica,2022,9323.66089490562
Dominica,2023,9912.96212766668
Dominica,2024,10405.2787777582
Denmark,2015,53094.0133607574
Denmark,2016,54500.9260410217
Denmark,2017,57521.5514992225
Denmark,2018,61324.7665045565
Denmark,2019,59404.2663247723
Denmark,2020,60985.4885601514
Denmark,2021,69727.9873677012
Denmark,2022,68091.3191138669
Denmark,2023,68453.8769281145
Denmark,2024,71851.7562131368
Dominican Republic,2015,6800.95309395474
Dominican Republic,2016,7160.44200982307
Dominican Republic,2017,7412.71571571512
Dominican Republic,2018,7882.98221584944
Dominican Republic,2019,8183.01623600375
Dominican Republic,2020,7135.22273255899
Dominican Republic,2021,8527.0754858205
Dominican Republic,2022,10104.2449349081
Dominican Republic,2023,10630.431743829
Dominican Republic,2024,10875.6618443092
Algeria,2015,4685.05902729002
Algeria,2016,4424.98529027556
Algeria,2017,4554.66753957828
Algeria,2018,4577.21029180491
Algeria,2019,4468.45341883656
Algeria,2020,3743.5419522929
Algeria,2021,4160.55926736925
Algeria,2022,4961.55257664733
Algeria,2023,5364.02795022731
Algeria,2024,5631.17999109851
Ecuador,2015,5976.1596805651
Ecuador,2016,5917.63771271481
Ecuador,2017,6233.32244797718
Ecuador,2018,6303.91886658338
Ecuador,2019,6205.05765246766
Ecuador,2020,5463.64515348598
Ecuador,2021,6061.32350181711
Ecuador,2022,6515.58528418336
Ecuador,2023,6737.84748379638
Ecuador,2024,6874.705739766
"Egypt, Arab Rep.",2015,3306.98159414141
"Egypt, Arab Rep.",2016,3270.6287768197
"Egypt, Arab Rep.",2017,2395.10333299491
"Egypt, Arab Rep.",2018,2484.70315630508
"Egypt, Arab Rep.",2019,2962.98892023003
"Egypt, Arab Rep.",2020,3511.11381026379
"Egypt, Arab Rep.",2021,3827.35415374308
"Egypt, Arab Rep.",2022,4233.30783744856
"Egypt, Arab Rep.",2023,3456.78968456253
"Egypt, Arab Rep.",2024,3338.47371395895
Eritrea,2015,
Eritrea,2016,
Eritrea,2017,
Eritrea,2018,
Eritrea,2019,
Eritrea,2020,
Eritrea,2021,
Eritrea,2022,
Eritrea,2023,
Eritrea,2024,
Spain,2015,25982.4416197775
Spain,2016,26755.6061149398
Spain,2017,28381.3425596906
Spain,2018,30602.4212881113
Spain,2019,29786.5245689007
Spain,2020,27233.9426461608
Spain,2021,30799.4775937775
Spain,2022,30270.2687017458
Spain,2023,33509.0127982139
Spain,2024,35297.0094995565
Ireland,2015,64311.8234684057
Ireland,2016,64192.9418053178
Ireland,2017,72198.1076995377
Ireland,2018,80738.9628834696
Ireland,2019,81810.1926481407
Ireland,2020,86622.5067251295
Ireland,2021,103961.976350649
Ireland,2022,105234.511567597
Ireland,2023,103887.800388081
Ireland,2024,107316.337306921
"Iran, Islamic Rep.",2015,4952.73355532178
"Iran, Islamic Rep.",2016,5477.03712389913
"Iran, Islamic Rep.",2017,5753.11544659399
"Iran, Islamic Rep.",2018,4631.78709016514
"Iran, Islamic Rep.",2019,3831.27894763337
"Iran, Islamic Rep.",2020,2988.78122414716
"Iran, Islamic Rep.",2021,4334.79268631354
"Iran, Islamic Rep.",2022,4405.09291519791
"Iran, Islamic Rep.",2023,4465.63766853306
"Iran, Islamic Rep.",2024,4771.40029026226
Iraq,2015,4440.14189252367
Iraq,2016,4334.42096404188
Iraq,2017,4759.2846435467
Iraq,2018,5646.68932074742
Iraq,2019,5671.8568632942
Iraq,2020,4295.18945121228
Iraq,2021,4868.49431080783
Iraq,2022,6520.73154560584
Iraq,2023,5965.31835077761
Iraq,2024,6073.61032342708
Iceland,2015,52951.6815110898
Iceland,2016,61987.9263620283
Iceland,2017,72010.1490316258
Iceland,2018,74452.1890731447
Iceland,2019,68452.23622306
Iceland,2020,59023.5663465778
Iceland,2021,69178.4046960961
Iceland,2022,75121.0152280628
Iceland,2023,79960.0961535662
Iceland,2024,82703.8579937471
Israel,2015,36213.1041481958
Israel,2016,37671.5389138798
Israel,2017,41138.470964272
Israel,2018,42362.6652754196
Israel,2019,44250.6313628073
Israel,2020,44575.5719045492
Israel,2021,52270.9040241956
Israel,2022,54949.621556429
Israel,2023,52003.7200729997
Israel,2024,54176.6844383302
Italy,2015,30639.8829751432
Italy,2016,31391.5692898108
Italy,2017,32844.115660604
Italy,2018,34904.1081923834
Italy,2019,33812.788724868
Italy,2020,32091.4866621366
Italy,2021,36852.5425414951
Italy,2022,35653.9042103495
Italy,2023,39065.4244365633
Italy,2024,40226.0472416173
Jamaica,2015,5062.8955502426
Jamaica,2016,5009.79448724295
Jamaica,2017,5259.31332766957
Jamaica,2018,5578.10347525832
Jamaica,2019,5607.24299266608
Jamaica,2020,4879.44025773374
Jamaica,2021,5165.33782130331
Jamaica,2022,6022.15339791763
Jamaica,2023,6839.72502408181
Jamaica,2024,7019.74634780454
Jordan,2015,4042.75678097555
Jordan,2016,3986.71677010853
Jordan,2017,4065.61628749384
Jordan,2018,4145.43989673265
Jordan,2019,4170.1144003465
Jordan,2020,4022.0401356135
Jordan,2021,4183.49998326866
Jordan,2022,4332.25159897931
Jordan,2023,4466.08314208575
Jordan,2024,4618.09592498567
Japan,2015,34960.6393843385
Japan,2016,39375.4731620781
Japan,2017,38834.0529341227
Japan,2018,39751.1330982711
Japan,2019,40415.9567649547
Japan,2020,40028.7341726762
Japan,2021,40094.5599795288
Japan,2022,34065.6438962526
Japan,2023,33836.1756271617
Japan,2024,32475.8924992191
Kazakhstan,2015,10196.1226255982
Kazakhstan,2016,7475.56688689424
Kazakhstan,2017,8943.08416791984
Kazakhstan,2018,9472.48527327758
Kazakhstan,2019,9457.12614657136
Kazakhstan,2020,8781.50797787648
Kazakhstan,2021,9983.60103576902
Kazakhstan,2022,11255.3396437881
Kazakhstan,2023,12879.4275257974
Kazakhstan,2024,14005.3487362345
Kenya,2015,1489.11959777284
Kenya,2016,1554.12610314423
Kenya,2017,1667.48447230835
Kenya,2018,1836.45275528993
Kenya,2019,1960.40808854893
Kenya,2020,1927.66459027849
Kenya,2021,2061.35622089594
Kenya,2022,2109.56288513137
Kenya,2023,1952.30457929636
Kenya,2024,2206.1349785176
Kyrgyz Republic,2015,1105.65193844261
Kyrgyz Republic,2016,1103.27489428412
Kyrgyz Republic,2017,1221.39046807082
Kyrgyz Republic,2018,1283.5203037417
Kyrgyz Republic,2019,1421.99927504102
Kyrgyz Republic,2020,1229.51766602907
Kyrgyz Republic,2021,1349.99730650542
Kyrgyz Republic,2022,1739.72018344174
Kyrgyz Republic,2023,2138.22210211478
Kyrgyz Republic,2024,2419.26553574523
Cambodia,2015,1547.32010444393
Cambodia,2016,1675.19555711109
Cambodia,2017,1826.35391688754
Cambodia,2018,2036.67377566578
Cambodia,2019,2225.87705485686
Cambodia,2020,2081.73914242939
Cambodia,2021,2167.40324198499
Cambodia,2022,2325.03050040841
Cambodia,2023,2429.74853452838
Cambodia,2024,2627.8796974226
Kiribati,2015,1639.85274740652
Kiribati,2016,1742.66799324117
Kiribati,2017,1853.05122713319
Kiribati,2018,1912.73809378187
Kiribati,2019,1750.9977188915
Kiribati,2020,1751.7823197053
Kiribati,2021,2222.04829512346
Kiribati,2022,2069.76720110559
Kiribati,2023,2177.70114080416
Kiribati,2024,2288.63458265531
St. Kitts and Nevis,2015,20328.8003530109
St. Kitts and Nevis,2016,21387.5415511103
St. Kitts and Nevis,2017,22464.9899633959
St. Kitts and Nevis,2018,22901.3816403197
St. Kitts and Nevis,2019,23595.4923231291
St. Kitts and Nevis,2020,18859.0190361046
St. Kitts and Nevis,2021,18361.1449697886
St. Kitts and Nevis,2022,20985.0112160159
St. Kitts and Nevis,2023,22600.4502299468
St. Kitts and Nevis,2024,22771.4168922033
"Korea, Rep.",2015,28737.4391706499
"Korea, Rep.",2016,29280.4403170048
"Korea, Rep.",2017,31600.7358741365
"Korea, Rep.",2018,33447.1562836166
"Korea, Rep.",2019,31902.4169048194
"Korea, Rep.",2020,31721.2989141857
"Korea, Rep.",2021,35125.5224984723
"Korea, Rep.",2022,32394.6833725203
"Korea, Rep.",2023,33121.3712885508
"Korea, Rep.",2024,
Kuwait,2015,29882.2126867068
Kuwait,2016,27323.6890643847
Kuwait,2017,29047.6535822842
Kuwait,2018,32067.9623689512
Kuwait,2019,31707.8737464917
Kuwait,2020,25236.0755520534
Kuwait,2021,34018.6342879647
Kuwait,2022,39981.7690981957
Kuwait,2023,34075.8490439847
Kuwait,2024,32213.8622292316
Lao PDR,2015,2121.01339097363
Lao PDR,2016,2303.22156035363
Lao PDR,2017,2432.43059478511
Lao PDR,2018,2545.1075420815
Lao PDR,2019,2589.32081035237
Lao PDR,2020,2583.77730696131
Lao PDR,2021,2526.05105018529
Lao PDR,2022,2046.40440255621
Lao PDR,2023,2066.94979776957
Lao PDR,2024,2123.97909411797
Lebanon,2015,7714.1099998804
Lebanon,2016,8089.012088155
Lebanon,2017,8608.21084982387
Lebanon,2018,9174.53666204759
Lebanon,2019,8905.88005497437
Lebanon,2020,5561.19166950397
Lebanon,2021,4045.37391066234
Lebanon,2022,3654.35845534878
Lebanon,2023,3477.72489842684
Lebanon,2024,
Liberia,2015,692.590082351257
Liberia,2016,714.613063145659
Liberia,2017,699.269095727404
Liberia,2018,692.203127129794
Liberia,2019,658.164180770507
Liberia,2020,616.787867006715
Liberia,2021,667.96610514319
Liberia,2022,744.617175237387
Liberia,2023,799.194470229642
Liberia,2024,846.277368387389
Libya,2015,7458.48917756374
Libya,2016,7525.80299308216
Libya,2017,9965.83236729757
Libya,2018,11196.5854810844
Libya,2019,9963.19489084483
Libya,2020,6650.33810585348
Libya,2021,4935.82787349801
Libya,2022,5986.63694851258
Libya,2023,6172.81246940233
Libya,2024,6318.40314031017
St. Lucia,2015,10334.9860823918
St. Lucia,2016,10638.1269396653
St. Lucia,2017,11333.1123822102
St. Lucia,2018,11642.6984727769
St. Lucia,2019,11794.0597229805
St. Lucia,2020,8411.07474936367
St. Lucia,2021,10459.1321248092
St. Lucia,2022,13103.8243147472
